Race ID,Year,Race Name,Avg pit stop time (ms)
740,1961,Belgian Grand Prix,\N
741,1961,French Grand Prix,\N
742,1961,British Grand Prix,\N
743,1961,German Grand Prix,\N
744,1961,Italian Grand Prix,\N
745,1961,United States Grand Prix,\N
746,1960,Argentine Grand Prix,\N
747,1960,Monaco Grand Prix,\N
748,1960,Indianapolis 500,\N
749,1960,Dutch Grand Prix,\N
750,1960,Belgian Grand Prix,\N
751,1960,French Grand Prix,\N
752,1960,British Grand Prix,\N
753,1960,Portuguese Grand Prix,\N
754,1960,Italian Grand Prix,\N
755,1960,United States Grand Prix,\N
756,1959,Monaco Grand Prix,\N
757,1959,Indianapolis 500,\N
